neighborhood,pop,Murder,Rape,Robbery,Armed Robbery,Agg. Assault,Agg. Assault w/ Gun,all_person,Burglary,Larceny,Auto Theft,Arson,all_property,total,points
Botanical Heights,1037,0,1,1,1,5,2,7,9,29,6,0,44,51,"280.556,516.188 261.552,512.089 249.166,519.689 218.349,545.856 270.832,550.42 273.224,534.415 276.52,528.558"
Midtown,5652,1,5,19,13,38,21,63,22,339,54,1,416,479,"362.967,533.124 261.731,511.972 276.702,499.472 285.504,475.182 291.19,466.662 329.343,483.946 338.751,486.157 343.082,473.786 383.017,482.422 383.017,486.041 364.167,517.945 364.322,529.734"
Mount Pleasant,4408,1,2,27,20,36,13,66,67,125,63,1,256,322,"273.083,715.343 269.901,724.833 304.507,743.616 331.733,699.82 335.456,694.209 341.273,689.282 347.389,685.885 285.207,678.281"
Near N. Riverfront,553,2,2,12,10,13,5,29,15,117,38,8,178,207,"389.582,332.709 442.958,304.115 474.812,350.345 488.723,383.27 480.346,401.483 490.209,421.573 493.351,436.064 493.351,450.077 494.991,458.595 494.538,463.961 498.004,474.47 504.43,492.945 504.272,494.212 479.739,491.301 476.143,492.115 475.396,477.871 448.815,425.928 443.128,415.136 440.736,408.826 439.276,398.665 437.038,393.52 430.498,382.52 420.789,368.157 409.465,351.868 403.944,343.932 398.541,338.786"
North Hampton,7892,0,1,2,2,13,6,16,41,151,44,0,236,252,"184.854,602.299 110.676,594.706 108.453,597.979 107.677,604.052 104.692,621.587 102.895,626.029 100.491,630 99.3,633.853 163.615,640.173 168.85,639.823 172.429,640.405 178.417,631.045"
North Point,3966,5,4,23,15,32,19,64,67,118,49,5,239,303,"233.396,213.872 249.477,194.274 289.331,179.044 288.297,182.134 289.486,182.961 289.705,183.763 288.66,184.641 287.52,184.888 282.61,211.194 255.591,238.315"
North Riverfront,937,0,1,3,3,14,1,18,16,58,17,0,91,109,"390.138,332.748 375.208,324.579 359.642,318.271 349.768,303.34 340.513,285.822 334.523,271.113 328.863,261.209 349.276,250.183 332.314,230.34 330.749,227.082 330.053,222.816 333.725,201.251 337.925,176.923 339.127,173.291 341.442,170.137 345.604,167.396 348.163,165.406 348.695,164.476 354.73,160.518 357.279,162.795 360.574,165.185 363.934,166.336 368.628,166.336 393.176,171.417 388.098,187.577 386.284,198.9 385.834,220.89 395.567,252.535 420.051,285.822 442.198,304.271"
O'Fallon,5791,8,7,33,25,77,51,125,101,145,58,7,311,436,"341.415,328.872 321.07,339.251 300.604,367.395 328.113,379.079 335.585,367.044 350.685,373.354 364.595,355.009 374.613,344.862 383.598,335.879 369.984,342.521 365.329,337.623 352.794,343.932 347.257,337.508 343.51,333.654"
Old North St. Louis,1916,1,2,16,11,39,21,58,30,66,35,0,131,189,"416.328,414.812 445.364,420.41 471.967,471.911 448.635,466.885 449.088,463.741 447.886,461.736 443.255,460.704 440.58,459.412 436.664,451.927 418.294,417.021"
Patch,2695,1,1,9,5,34,8,45,43,122,48,3,216,261,"180.832,802.19 177.835,803.368 180.678,811.6 179.928,814.873 178.972,817.083 174.368,823.792 186.209,829.556 186.288,837.625 193.333,845.407 208.64,839.047 225.716,850.175 249.697,791.55 237.271,783.473 234.429,786.058 221.141,776.994 222.419,776 215.077,772.135"
